Card Name
Annul
Ascendant Spirit
Augury Raven
Avalanche Caller
Behold the Multiverse
Berg Strider
Bind the Monster
Brinebarrow Intruder
Cosima God of the Voyage // The Omenkeel
Cosmos Charger
A-Cosmos Charger
Cyclone Summoner
Depart the Realm
Disdainful Stroke
Draugr Thought-Thief
Frost Augur
Frostpeak Yeti
Frostpyre Arcanist
Giant's Amulet
Glimpse the Cosmos
Graven Lore
Icebind Pillar
Icebreaker Kraken
Inga Rune-Eyes
Karfell Harbinger
Littjara Kinseekers
Mists of Littjara
Mistwalker
Mystic Reflection
Orvar the All-Form
Pilfering Hawk
Ravenform
Reflections of Littjara
Run Ashore
Rune of Flight
Saw It Coming
Strategic Planning
Undersea Invader
Blood on the Snow
Bloodsky Berserker
Burning-Rune Demon
Crippling Fear
Deathknell Berserker
Demonic Gifts
Dogged Pursuit
Draugr Necromancer
Draugr Recruiter
Draugr's Helm
Dread Rider
Dream Devourer
Duskwielder
Egon God of Death // Throne of Death
Elderfang Disciple
Eradicator Valkyrie
Feed the Serpent
Grim Draugr
Hailstorm Valkyrie
Haunting Voyage
Infernal Pet
Jarl of the Forsaken
Karfell Kennel-Master
Koma's Faithful
Poison the Cup
Priest of the Haunted Edge
Raise the Draugr
Return Upon the Tide
A-Return Upon the Tide
Rise of the Dread Marn
Rune of Mortality
Skemfar Avenger
A-Skemfar Avenger
Skemfar Shadowsage
Skull Raid
Tergrid God of Fright // Tergrid's Lantern
Tergrid's Shadow
Valki God of Lies // Tibalt Cosmic Impostor
Varragoth Bloodsky Sire
Vengeful Reaper
Village Rites
Weigh Down
Withercrown
Arni Brokenbrow
Axgard Cavalry
Basalt Ravager
Birgi God of Storytelling // Harnfel Horn of Bounty
Breakneck Berserker
Calamity Bearer
Cinderheart Giant
Craven Hulk
Crush the Weak
Demon Bolt
Doomskar Titan
Dragonkin Berserker
Dual Strike
Dwarven Hammer
Dwarven Reinforcements
Fearless Liberator
Fearless Pup
Frenzied Raider
Frost Bite
Goldspan Dragon
Hagi Mob
Immersturm Raider
Magda Brazen Outlaw
Open the Omenpaths
Provoke the Trolls
Quakebringer
Reckless Crew
Run Amok
Rune of Speed
Seize the Spoils
Shackles of Treachery
Smashing Success
Squash
Tibalt's Trickery
Toralf God of Fury // Toralf's Hammer
Tormentor's Helm
Tundra Fumarole
Tuskeri Firewalker
Vault Robber
Arachnoform
Battle Mammoth
Blessing of Frost
Blizzard Brawl
Boreal Outrider
Broken Wings
Elderleaf Mentor
A-Elderleaf Mentor
Elven Bow
A-Elven Bow
Elvish Warmaster
Esika God of the Tree // The Prismatic Bridge
Esika's Chariot
Fynn the Fangbearer
Glittering Frost
Gnottvold Recluse
Grizzled Outrider
Guardian Gladewalker
Horizon Seeker
Icehide Troll
In Search of Greatness
Jaspera Sentinel
Jorn God of Winter // Kaldring the Rimestaff
King Harald's Revenge
Kolvori God of Kinship // The Ringhart Crest
Littjara Glade-Warden
Mammoth Growth
Masked Vandal
Old-Growth Troll
Path to the World Tree
Ravenous Lindwurm
Realmwalker
Rootless Yew
Roots of Wisdom
Rune of Might
Sarulf's Packmate
Sculptor of Winter
Snakeskin Veil
Spirit of the Aldergard
Struggle for Skemfar
Toski Bearer of Secrets
Tyvar Kell3
A-Tyvar Kell4
Vorinclex Monstrous Raider
Aegar the Freezing Flame
Arni Slays the Troll
Ascent of the Worthy
Battle for Bretagard
Battle of Frost and Fire
The Bears of Littjara
Binding the Old Gods
The Bloodsky Massacre
Fall of the Impostor
A-Fall of the Impostor
Firja Judge of Valor
Firja's Retribution
Forging the Tyrite Sword
Harald King of Skemfar
A-Harald King of Skemfar
Harald Unites the Elves
A-Harald Unites the Elves
Immersturm Predator
Invasion of the Giants
Kardur Doomscourge
Kardur's Vicious Return
Kaya the Inexorable5
King Narfi's Betrayal
Koll the Forgemaster
Koma Cosmos Serpent
Maja Bretagard Protector
Moritte of the Frost
Narfi Betrayer King
A-Narfi Betrayer King
Niko Aris3
Niko Defies Destiny
The Raven's Warning
Sarulf Realm Eater
Showdown of the Skalds
Svella Ice Shaper
The Three Seasons
The Trickster-God's Heist
Vega the Watcher
A-Vega the Watcher
Waking the Trolls
Bloodline Pretender
Colossal Plow
Cosmos Elixir
A-Cosmos Elixir
Funeral Longboat
Goldvein Pick
Maskwood Nexus
Pyre of Heroes
Raiders' Karve
Raven Wings
Replicating Ring
Runed Crown
Scorn Effigy
Weathered Runestone
Alpine Meadow
Arctic Treeline
Axgard Armory
Barkchannel Pathway // Tidechannel Pathway
Blightstep Pathway // Searstep Pathway
Bretagard Stronghold
A-Bretagard Stronghold
Darkbore Pathway // Slitherbore Pathway
Faceless Haven
Gates of Istfell
Glacial Floodplain
Gnottvold Slumbermound
Great Hall of Starnheim
Hengegate Pathway // Mistgate Pathway
Highland Forest
Ice Tunnel
Immersturm Skullcairn
Littjara Mirrorlake
Port of Karfell
Rimewood Falls
Shimmerdrift Vale
Skemfar Elderhall
A-Skemfar Elderhall
Snowfield Sinkhole
Sulfurous Mire
Surtland Frostpyre
Tyrite Sanctum
Volatile Fjord
Woodland Chasm
The World Tree
Snow-Covered Plains
Snow-Covered Island
Snow-Covered Swamp
Snow-Covered Mountain
Snow-Covered Forest
Starnheim Unleashed
Alrund's Epiphany
Halvar God of Battle // Sword of the Realms
Reidane God of the Worthy // Valkmira Protector's Shield
Sigrid God-Favored
Alrund God of the Cosmos // Hakka Whispering Raven
Doomskar
Glorious Protector
Rally the Ranks
Resplendent Marshal
Righteous Valkyrie
Runeforge Champion
Search for Glory
Valkyrie Harbinger
Surtland Elementalist
Cleaving Reaper
Surtland Flinger
Canopy Tactician
A-Canopy Tactician
Armed and Armored
Starnheim Aspirant
Warchanter Skald
Youthful Valkyrie
Absorb Identity
Giant's Grasp
Elderfang Ritualist
A-Elderfang Ritualist
Renegade Reaper
Thornmantle Striker
A-Thornmantle Striker
Bearded Axe
Fire Giant's Fury
Gilded Assault Cart
Elven Ambush
Gladewalker Ritualist
Rampage of the Valkyries
Plains
Island
Swamp
Mountain
Forest
Usher of the Fallen
Acrobatic Maneuver
Aerial Responder
Aetherstorm Roc
Angel of Invention
Authority of the Consuls
Aviary Mechanic
Built to Last
Captured by the Consulate
Cataclysmic Gearhulk
Consulate Surveillance
Consul's Shieldguard
Eddytrail Hawk
Fairgrounds Warden
Fragmentize
Fumigate
Gearshift Ace
Glint-Sleeve Artisan
Herald of the Fair
Impeccable Timing
Inspired Charge
Master Trinketeer
