name,mana_cost,cmc,colors,type,supertypes,subtypes,text,power,toughness,loyalty,legalities
"Cao Ren, Wei Commander",{2}{B}{B},4.0,B,Legendary Creature — Human Soldier Warrior,Legendary,"Human, Soldier, Warrior","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
When Cao Ren, Wei Commander enters the battlefield, you lose 3 life.",3,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Corrupt Court Official,{1}{B},2.0,B,Creature — Human Advisor,,"Human, Advisor","When Corrupt Court Official enters the battlefield, target opponent discards a card.",1,1,,"format: Alchemy, legality: Legal, format: Brawl, legality: Legal, format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Future, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Predh, legality: Legal, format: Standard, legality: Legal, format: Vintage, legality: Legal"
Cunning Advisor,{3}{B},4.0,B,Creature — Human Advisor,,"Human, Advisor","{T}: Target opponent discards a card. Activate only during your turn, before attackers are declared.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Deception,{2}{B},3.0,B,Sorcery,,,Target opponent discards two cards.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Imperial Edict,{1}{B},2.0,B,Sorcery,,,Target opponent chooses a creature they control. Destroy that creature.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Poison Arrow,{4}{B}{B},6.0,B,Sorcery,,,Destroy target nonblack creature. You gain 3 life.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Return to Battle,{B},1.0,B,Sorcery,,,Return target creature card from your graveyard to your hand.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Sima Yi, Wei Field Marshal",{5}{B},6.0,B,Legendary Creature — Human Soldier,Legendary,"Human, Soldier","Sima Yi, Wei Field Marshal's power is equal to the number of Swamps you control.",*,4,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Stone Catapult,{4}{B},5.0,B,Creature — Human Soldier,,"Human, Soldier","{T}: Destroy target tapped nonblack creature. Activate only during your turn, before attackers are declared.",1,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Wei Ambush Force,{1}{B},2.0,B,Creature — Human Soldier,,"Human, Soldier","Whenever Wei Ambush Force attacks, it gets +2/+0 until end of turn.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Wei Assassins,{3}{B}{B},5.0,B,Creature — Human Soldier Assassin,,"Human, Soldier, Assassin","When Wei Assassins enters the battlefield, target opponent chooses a creature they control. Destroy that creature.",3,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Wei Scout,{1}{B},2.0,B,Creature — Human Soldier Scout,,"Human, Soldier, Scout",Horsemanship (This creature can't be blocked except by creatures with horsemanship.),1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Xun Yu, Wei Advisor",{1}{B}{B},3.0,B,Legendary Creature — Human Advisor,Legendary,"Human, Advisor","{T}: Target creature you control gets +2/+0 until end of turn. Activate only during your turn, before attackers are declared.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Zhang He, Wei General",{3}{B}{B},5.0,B,Legendary Creature — Human Soldier,Legendary,"Human, Soldier","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Whenever Zhang He, Wei General attacks, each other creature you control gets +1/+0 until end of turn.",4,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Zhang Liao, Hero of Hefei",{4}{B}{B},6.0,B,Legendary Creature — Human Soldier,Legendary,"Human, Soldier","Whenever Zhang Liao, Hero of Hefei deals damage to an opponent, that opponent discards a card.",3,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Barbarian General,{4}{R},5.0,R,Creature — Human Barbarian Soldier,,"Human, Barbarian, Soldier",Horsemanship (This creature can't be blocked except by creatures with horsemanship.),3,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Barbarian Horde,{3}{R},4.0,R,Creature — Human Barbarian Soldier,,"Human, Barbarian, Soldier",,3,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Burning Fields,{4}{R},5.0,R,Sorcery,,,Burning Fields deals 5 damage to target opponent or planeswalker.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Control of the Court,{1}{R},2.0,R,Sorcery,,,"Draw four cards, then discard three cards at random.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Desert Sandstorm,{2}{R},3.0,R,Sorcery,,,Desert Sandstorm deals 1 damage to each creature.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Eunuchs' Intrigues,{2}{R},3.0,R,Sorcery,,,Target opponent chooses a creature they control. Other creatures they control can't block this turn.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Fire Bowman,{R},1.0,R,Creature — Human Soldier Archer,,"Human, Soldier, Archer","Sacrifice Fire Bowman: It deals 1 damage to any target. Activate only during your turn, before attackers are declared.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Independent Troops,{1}{R},2.0,R,Creature — Human Soldier,,"Human, Soldier",,2,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Ma Chao, Western Warrior",{3}{R}{R},5.0,R,Legendary Creature — Human Soldier Warrior,Legendary,"Human, Soldier, Warrior","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Whenever Ma Chao, Western Warrior attacks alone, it can't be blocked this combat.",3,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Mountain Bandit,{R},1.0,R,Creature — Human Soldier Rogue,,"Human, Soldier, Rogue",Haste,1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Ravaging Horde,{3}{R}{R},5.0,R,Creature — Human Soldier,,"Human, Soldier","When Ravaging Horde enters the battlefield, destroy target land.",3,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Renegade Troops,{4}{R},5.0,R,Creature — Human Soldier,,"Human, Soldier",Haste,4,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Yellow Scarves Cavalry,{1}{R},2.0,R,Creature — Human Soldier,,"Human, Soldier","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Yellow Scarves Cavalry can't block.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Yellow Scarves General,{3}{R},4.0,R,Creature — Human Soldier,,"Human, Soldier","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Yellow Scarves General can't block.",2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Yellow Scarves Troops,{1}{R},2.0,R,Creature — Human Soldier,,"Human, Soldier",Yellow Scarves Troops can't block.,2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Yuan Shao, the Indecisive",{4}{R},5.0,R,Legendary Creature — Human Soldier,Legendary,"Human, Soldier","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Each creature you control can't be blocked by more than one creature.",2,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Yuan Shao's Infantry,{3}{R},4.0,R,Creature — Human Soldier,,"Human, Soldier","Whenever Yuan Shao's Infantry attacks alone, Yuan Shao's Infantry can't be blocked this combat.",2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Borrowing the East Wind,{X}{G}{G},2.0,G,Sorcery,,,Borrowing the East Wind deals X damage to each creature with horsemanship and each player.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
False Mourning,{G},1.0,G,Sorcery,,,Put target card from your graveyard on top of your library.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Forest Bear,{1}{G},2.0,G,Creature — Bear,,Bear,,2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Lady Zhurong, Warrior Queen",{4}{G},5.0,G,Legendary Creature — Human Soldier Warrior,Legendary,"Human, Soldier, Warrior",Horsemanship (This creature can't be blocked except by creatures with horsemanship.),4,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Marshaling the Troops,{1}{G},2.0,G,Sorcery,,,Tap any number of untapped creatures you control. You gain 4 life for each creature tapped this way.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Spring of Eternal Peace,{3}{G}{G},5.0,G,Sorcery,,,You gain 8 life.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Taoist Hermit,{2}{G},3.0,G,Creature — Human Mystic,,"Human, Mystic",Hexproof (This creature can't be the target of spells or abilities your opponents control.),2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Taoist Mystic,{2}{G},3.0,G,Creature — Human Mystic,,"Human, Mystic",Taoist Mystic can't be blocked by creatures with horsemanship.,2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Taunting Challenge,{1}{G}{G},3.0,G,Sorcery,,,All creatures able to block target creature this turn do so.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Trained Cheetah,{2}{G},3.0,G,Creature — Cat,,Cat,"Whenever Trained Cheetah becomes blocked, it gets +1/+1 until end of turn.",2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Trained Jackal,{G},1.0,G,Creature — Jackal,,Jackal,,1,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Wielding the Green Dragon,{1}{G},2.0,G,Sorcery,,,Target creature gets +4/+4 until end of turn.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
"Zuo Ci, the Mocking Sage",{1}{G}{G},3.0,G,Legendary Creature — Human Advisor,Legendary,"Human, Advisor","Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Zuo Ci, the Mocking Sage can't be blocked by creatures with horsemanship.",1,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Platinum Emperion,{8},8.0,,Artifact Creature — Golem,,Golem,Your life total can't change. (You can't gain or lose life. You can't pay any amount of life except 0.),8,8,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Lavaclaw Reaches,,0.0,,Land,,,"Lavaclaw Reaches enters the battlefield tapped.
{T}: Add {B} or {R}.
{1}{B}{R}: Until end of turn, Lavaclaw Reaches becomes a 2/2 black and red Elemental creature with ""{X}: This creature gets +X/+0 until end of turn."" It's still a land.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Ass Whuppin',{1}{W}{B},3.0,"B, W",Sorcery,,,Destroy target silver-bordered or acorn permanent in any game you can see from your seat.,,,,
Earl of Squirrel,{4}{G}{G},6.0,G,Creature — Squirrel Noble Advisor,,"Squirrel, Noble, Advisor","Squirrellink (Damage dealt by this creature also causes you to create that many 1/1 green Squirrel creature tokens.)
Creature tokens you control are Squirrels in addition to their other creature types.
Other Squirrels you control get +1/+1.",4,4,,
Ertai,,0.0,,Vanguard,,,Creatures you control have hexproof. (They can't be the targets of spells or abilities your opponents control.),,,,
Gerrard,,0.0,,Vanguard,,,"At the beginning of your draw step, draw an additional card.",,,,
Karn,,0.0,,Vanguard,,,Each noncreature artifact you control is an artifact creature with power and toughness each equal to its mana value.,,,,
Maraxus,,0.0,,Vanguard,,,Creatures you control get +1/+0.,,,,
Mirri,,0.0,,Vanguard,,,"If a basic land you control is tapped for mana, it produces mana of a color of your choice instead of any other type.",,,,
Sisay,,0.0,,Vanguard,,,"Whenever you tap a land for mana, add one mana of any type that land produced.",,,,
Squee,,0.0,,Vanguard,,,Your opponents play with their hands revealed.,,,,
Tahngarth,,0.0,,Vanguard,,,Creatures you control have haste.,,,,
Barrin,,0.0,,Vanguard,,,Sacrifice a permanent: Return target creature to its owner's hand.,,,,
Crovax,,0.0,,Vanguard,,,"Whenever a creature you control deals damage to a creature or player, you gain 1 life.",,,,
Greven il-Vec,,0.0,,Vanguard,,,"Whenever a creature you control deals damage to a creature, destroy the other creature. It can't be regenerated.",,,,
Hanna,,0.0,,Vanguard,,,Spells you cast cost {1} less to cast.,,,,
Orim,,0.0,,Vanguard,,,Creatures you control have reach.,,,,
Selenia,,0.0,,Vanguard,,,Creatures you control have vigilance.,,,,
Starke,,0.0,,Vanguard,,,"At the beginning of your draw step, you may draw an additional card. If you do, put a card from your hand on the bottom of your library.",,,,
Volrath,,0.0,,Vanguard,,,"Whenever a creature you control is put into your graveyard from the battlefield, you may put it on top of your library.",,,,
Eladamri,,0.0,,Vanguard,,,{0}: The next 1 damage that would be dealt to target creature you control is dealt to you instead.,,,,
Lyna,,0.0,,Vanguard,,,Creatures you control have shadow. (They can block and be blocked only by creatures with shadow.),,,,
Multani,,0.0,,Vanguard,,,"Creatures you control get +X/+0, where X is the number of cards in your hand.",,,,
Oracle,,0.0,,Vanguard,,,{0}: Untap target attacking creature you control and remove it from combat.,,,,
Rofellos,,0.0,,Vanguard,,,"Whenever a creature you control dies, draw a card.",,,,
Sidar Kondo,,0.0,,Vanguard,,,{3}: Target creature gets +3/+3 until end of turn.,,,,
"Sliver Queen, Brood Mother",,0.0,,Vanguard,,,{3}: Create a 1/1 colorless Sliver creature token.,,,,
Takara,,0.0,,Vanguard,,,Sacrifice a creature: Takara deals 1 damage to any target.,,,,
Ashnod,,0.0,,Vanguard,,,"Whenever a creature deals damage to you, destroy it.",,,,
Gix,,0.0,,Vanguard,,,{3}: Return target creature card from your graveyard to your hand.,,,,
Mishra,,0.0,,Vanguard,,,"If a creature you control would deal damage, it deals double that damage instead.",,,,
Serra,,0.0,,Vanguard,,,Creatures you control get +0/+2.,,,,
Tawnos,,0.0,,Vanguard,,,"You may cast artifact, creature, and enchantment spells as though they had flash.",,,,
Titania,,0.0,,Vanguard,,,You may play an additional land on each of your turns.,,,,
Urza,,0.0,,Vanguard,,,{3}: Urza deals 1 damage to any target.,,,,
Xantcha,,0.0,,Vanguard,,,Sacrifice a permanent: Regenerate target creature.,,,,
Ignite the Beacon,{4}{W},5.0,W,Instant,,,"Search your library for up to two planeswalker cards, reveal them, put them into your hand, then shuffle.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Single Combat,{3}{W}{W},5.0,W,Sorcery,,,"Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can't cast creature or planeswalker spells until the end of your next turn.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
"Tomik, Distinguished Advokist",{W}{W},2.0,W,Legendary Creature — Human Advisor,Legendary,"Human, Advisor","Flying
Lands on the battlefield and land cards in graveyards can't be the targets of spells or abilities your opponents control.
Your opponents can't play land cards from graveyards.",2,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
